Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate,,
Occ,"Cement, concrete, lime, and gypsum product manufacturing ",2007,32,499,12.8,,
Occ,Primary metal manufacturing,2007,20,"1,118",3.6,,
Occ,Fabricated metal product manufacturing,2007,71,"2,841",5.0,,
Occ,Machinery manufacturing,2007,25,"2,722",1.8,,
Occ,Transportation equipment manufacturing,2007,33,"4,473",1.5,,
Occ,Wood product manufacturing,2007,39,"1,028",7.6,,
,Service providing,2007,"2,740","174,920",3.1,,
,"Trade, transportation, and utilities",2007,"1,479","51,111",5.8,,
Ind,Wholesale trade,2007,207,"8,993",4.5,,
,"Merchant wholesalers, durable goods",2007,104,"4,628",4.5,,
Occ,"Machinery, equipment, and supplies, merchant wholesalers     ",2007,30,"1,010",5.7,,
,"Merchant wholesalers, nondurable goods",2007,93,"4,027",4.5,,
Occ,"Groceries and related products, merchant wholesalers ",2007,31,"1,754",3.4,,
Ind,Retail trade,2007,348,"29,571",2.4,,
,Motor vehicle and parts dealers,2007,62,"4,214",2.9,,
Occ,Automobile dealers ,2007,28,"2,921",1.9,,
Occ,"Auto parts, accessories, and tire stores  ",2007,26,940,5.5,,
Occ,Building material and garden equipment and supplies dealers,2007,35,"2,960",2.4,,
,Food and beverage stores,2007,90,"5,018",3.6,,
Occ,Grocery stores ,2007,73,"4,392",3.3,,
Occ,Gasoline stations ,2007,43,939,9.2,,
Occ,Miscellaneous store retailers,2007,15,"1,927",1.6,,
Occ,Nonstore retailers,2007,19,"1,164",3.3,,
Ind,Transportation and warehousing     ,2007,890,"10,771",16.5,,
Occ,Air transportation ,2007,41,955,8.4,,
Occ,Rail transportation ,2007,16,545,5.9,,
Occ,Water transportation ,2007,22,142,31.0,,
Occ,Truck transportation ,2007,583,"4,481",26.0,,
,Transit and ground passenger transportation,2007,77,"1,105",13.9,,
Occ,Bus service and urban transit ,2007,27,623,8.7,,
Occ,Taxi and limousine service ,2007,50,482,20.7,,
Occ,Services incidental to transportation ,2007,73,"1,255",11.6,,
Occ,Warehousing and storage ,2007,30,816,7.4,,
Ind,Utilities,2007,34,"1,776",3.8,,
Ind,Information ,2007,79,"6,642",2.3,,
,"Publishing industries, except Internet",2007,43,"1,649",5.0,,
Occ,Newspaper publishers,2007,39,737,10.0,,
Ind,Financial activities,2007,119,"19,856",1.2,,
Occ,Finance and Insurance,2007,46,"14,078",0.7,,
,Real estate and rental and leasing,2007,73,"5,758",2.5,,
Occ,Real estate ,2007,50,"4,804",2.1,,
Ind,Professional and business services,2007,476,"29,271",3.3,,
Occ,"Professional, scientific, and technical services",2007,77,"17,705",0.9,,
,"Management, administrative, and waste services",2007,399,"11,547",6.9,,
Occ,Employment services ,2007,57,"1,863",6.1,,
Occ,Investigation and security services ,2007,49,"1,498",6.5,,
Occ,Services to buildings and dwellings (except landscaping services) ,2007,38,"2,242",3.4,,
Occ,Landscaping services,2007,157,"2,344",13.4,,
Occ,Waste management and remediation services ,2007,73,728,20.1,,
Ind,Educational and health services,2007,149,"35,545",0.8,,
Occ,Educational services,2007,34,"6,344",1.0,,
,Health care and social assistance,2007,115,"29,208",0.8,,
Occ,Ambulatory health care services,2007,48,"10,898",0.9,,
Occ,Hospitals ,2007,29,"9,608",0.6,,
Occ,Nursing and residential care facilities,2007,18,"4,084",0.9,,
Occ,Social assistance,2007,20,"4,577",0.7,,
Ind,Leisure and hospitality,2007,260,"20,121",2.5,,
,"Arts, entertainment, and recreation",2007,96,"4,099",4.5,,
Occ,"Independent artists, performing arts, spectator sports, and related industries",2007,47,"1,267",6.9,,
Occ,"Amusement, gambling, and recreation industries (except bowling centers)  ",2007,45,"2,523",3.6,,
,Accommodation and food services,2007,164,"16,000",2.0,,
,Accommodation ,2007,34,"2,727",2.5,,
Occ,Traveler accommodation ,2007,29,"2,572",2.3,,
,Food services and drinking places,2007,130,"13,294",1.9,,
Occ,Restaurants and other food services ,2007,103,"12,826",1.6,,
Occ,Drinking places (alcoholic beverages),2007,27,458,11.8,,
Ind,Other services (except public administration),2007,175,"12,374",2.7,,
Occ,Automotive repair and maintenance (except car washes),2007,55,"2,554",4.3,,
Occ,Personal and laundry services,2007,42,"3,749",2.2,,
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2007,39,"3,328",1.9,,
Ind,Government,2007,545,"38,413",2.3,,
Occ,Federal government,2007,111,"6,643",1.4,,
Occ,State government,2007,110,"11,592",1.9,,
Occ,Local government,2007,321,"20,151",2.8,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
