Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate
Occ,Chemical manufacturing,2010,23,"2,435",1.9
Occ,Nonmetallic mineral product manufacturing,2010,18,853,4.2
Occ,Primary metal manufacturing,2010,17,932,3.6
Occ,Fabricated metal product manufacturing,2010,49,"2,181",4.5
Occ,Machinery manufacturing,2010,22,"2,374",1.9
Occ,Transportation equipment manufacturing,2010,31,"3,953",1.6
,Service providing,2010,"2,310","167,400",2.7
,"Trade, transportation, and utilities",2010,"1,189","46,596",5.1
Ind,Wholesale trade,2010,191,"7,720",4.9
,"Merchant wholesalers, durable goods",2010,89,"3,646",4.9
Occ,"Machinery, equipment, and supplies, merchant wholesalers     ",2010,27,722,7.5
Occ,Recyclable material merchant wholesalers,2010,18,200,18
,"Merchant wholesalers, nondurable goods",2010,95,"3,826",5
Occ,"Groceries and related products, merchant wholesalers ",2010,26,"1,711",3
Ind,Retail trade,2010,311,"27,402",2.2
,Motor vehicle and parts dealers,2010,48,"3,628",2.6
Occ,Automobile dealers ,2010,27,"2,351",2.3
Occ,Building material and garden equipment and supplies dealers,2010,32,"2,624",2.4
,Food and beverage stores,2010,79,"5,213",3
Occ,Grocery stores ,2010,64,"4,542",2.7
Occ,Gasoline stations ,2010,52,808,12.9
Occ,Miscellaneous store retailers,2010,19,"1,879",1.8
Occ,Nonstore retailers,2010,15,911,3.3
Ind,Transportation and warehousing     ,2010,661,"9,591",13.7
Occ,Air transportation ,2010,32,926,6.5
Occ,Rail transportation ,2010,17,502,6.8
Occ,Truck transportation ,2010,416,"3,584",23.2
,Transit and ground passenger transportation,2010,63,"1,082",11.6
Occ,Bus service and urban transit ,2010,16,524,6.1
Occ,Taxi and limousine service ,2010,47,558,16.8
Occ,Support activities for transportation ,2010,67,"1,308",10.1
Occ,Couriers and messengers,2010,27,"1,155",4.7
Occ,Warehousing and storage ,2010,20,731,5.2
Ind,Utilities,2010,26,"1,883",2.8
Ind,Information ,2010,43,"5,768",1.5
Ind,Financial activities,2010,113,"17,694",1.3
Occ,Finance and insurance,2010,24,"12,826",0.4
,Real estate and rental and leasing,2010,89,"4,885",3.6
Occ,Real estate ,2010,63,"4,111",3.1
Occ,Rental and leasing services,2010,26,772,6.7
Ind,Professional and business services,2010,364,"27,893",2.6
,"Professional, scientific, and technical services",2010,76,"17,263",0.9
Occ,"Architectural, engineering, and related services ",2010,29,"2,808",2.1
,"Management, administrative, and waste services",2010,288,"10,611",5.3
Occ,Employment services ,2010,19,"1,535",2.3
Occ,Investigation and security services ,2010,34,"1,531",4.4
Occ,Services to buildings and dwellings (except landscaping services) ,2010,38,"2,209",3.3
Occ,Landscaping services,2010,133,"1,969",13.1
Occ,Waste management and remediation services ,2010,52,811,12.8
Ind,Educational and health services,2010,171,"37,986",0.9
Occ,Educational services,2010,30,"7,088",0.8
,Health care and social assistance,2010,141,"30,930",0.9
Occ,Ambulatory health care services,2010,61,"11,747",1
Occ,Hospitals ,2010,24,"10,174",0.5
Occ,Nursing and residential care facilities,2010,21,"4,307",1
Occ,Social assistance,2010,33,"4,650",1.2
Ind,Leisure and hospitality,2010,238,"19,646",2.3
,"Arts, entertainment, and recreation",2010,84,"4,196",3.6
Occ,"Performing arts, spectator sports, and related industries",2010,47,"1,270",6.5
Occ,"Amusement, gambling, and recreation industries (except bowling centers)  ",2010,34,"2,626",2.6
,Accommodation and food services,2010,154,"15,441",2
,Accommodation ,2010,32,"2,536",2.4
Occ,Traveler accommodation ,2010,23,"2,346",2
,Food services and drinking places,2010,122,"12,923",1.9
Occ,Restaurants and other food services ,2010,94,"12,522",1.5
Occ,Drinking places (alcoholic beverages),2010,28,405,13.8
Ind,Other services (except public administration),2010,192,"11,817",3
,Repair and maintenance,2010,117,"3,798",6.1
Occ,Automotive repair and maintenance (except car washes),2010,70,"2,323",6
Occ,Personal and laundry services,2010,39,"3,836",2
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2010,35,"3,268",1.5
Ind,Government,2010,484,"38,074",2.2
Occ,Federal government,2010,101,"7,021",1.6
Occ,State government,2010,109,"11,398",1.9
Occ,Local government,2010,269,"19,648",2.5
