Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate
,Total,2008,"5,214","271,958",3.7
,,2008,,,
,Employee Status,2008,,,
,Wage and salary workers4 ,2008,"4,183","254,085",3.2
,Self-employed5,2008,"1,031","17,676",11.6
,,2008,,,
,Gender,2008,,,
Dem,Men,2008,"4,827","155,020",6.1
Dem,Women,2008,387,"116,881",0.6
,,2008,,,
,Age,2008,,,
Dem,16 to 17 years,2008,23,"1,714",2.5
Dem,18 to 19 years,2008,66,"4,754",2.4
Dem,20 to 24 years,2008,353,"23,250",2.8
Dem,25 to 34 years,2008,850,"60,610",2.8
Dem,35 to 44 years,2008,"1,113","65,657",3.3
Dem,45 to 54 years,2008,"1,292","68,046",3.8
Dem,55 to 64 years,2008,920,"38,942",4.7
Dem,65 years and over,2008,580,"8,939",12.7
,,2008,,,
,Race or ethnic origin6,2008,,,
Dem,White (non-Hispanic),2008,"3,663","187,407",3.8
Dem,Black or African-American (non-Hispanic),2008,533,"28,733",3.7
Dem,Hispanic or Latino,2008,804,"37,978",4.2
,,2008,,,
,Occupation7,2008,,,
,Civilian Occupations,2008,,,
Ind,"Management, professional, and related occupations",2008,844,"102,703",1.6
,"Management, business, and financial operations occupations",2008,577,"46,080",2.5
,Management occupations,2008,553,"33,845",3.3
Occ,Farmers and ranchers,2008,324,"1,601",40.3
Occ,Construction managers,2008,55,"2,575",4.3
Occ,Food service managers,2008,28,"2,355",2.4
Occ,Business and financial operations occupations,2008,24,"12,212",0.4
,Professional and related occupations,2008,267,"56,710",0.9
Occ,Architecture and engineering occupations,2008,42,"6,054",1.4
Occ,"Education, training, and library occupations",2008,27,"14,202",0.4
Occ,"Arts, design, entertainment, sports, and media occupations",2008,57,"4,927",2.3
Occ,Healthcare practitioner and technical occupations,2008,61,"13,880",0.9
Ind,Service occupations,2008,681,"41,383",3.2
,Protective service occupations,2008,306,"6,220",9.1
Occ,Fire fighters,2008,44,806,6.9
Occ,Police and sheriff's patrol officers,2008,112,"1,426",15.7
Occ,Security guards and gaming surveillance officers,2008,70,"1,642",8.5
Occ,Food preparation and serving related occupations,2008,65,"12,168",1.1
,Building and grounds cleaning and maintenance occupations,2008,234,"9,229",5.1
Occ,Janitors and building cleaners,2008,57,"3,628",3.1
Occ,Grounds maintenance workers,2008,131,"2,152",12.2
Occ,Personal care and service occupations,2008,57,"8,187",1.3
Ind,Sales and office occupations,2008,364,"64,173",1.1
,Sales and related occupations,2008,275,"29,961",1.8
Occ,First-line supervisors/managers of retail sales workers,2008,113,"7,378",3.1
Occ,First-line supervisors/managers of non-retail sales workers,2008,17,"2,759",1.2
Occ,Cashiers,2008,43,"4,392",1.9
Occ,Retail salespersons,2008,44,"5,637",1.5
Occ,Office and administrative support occupations,2008,89,"34,185",0.5
Ind,"Natural resources, construction, and maintenance occupations",2008,"1,617","28,869",11.1
,"Farming, fishing, and forestry occupations",2008,286,"1,957",28.4
Occ,Miscellaneous agricultural workers,2008,141,"1,407",18.9
Occ,Fishers and related fishing workers,2008,50,78,128.2
Occ,Logging workers,2008,85,142,119.7
,Construction and extraction occupations,2008,977,"16,481",11.7
Occ,Carpenters,2008,70,"2,868",4.8
Occ,Construction laborers,2008,241,"2,934",16.2
Occ,Operating engineers and other construction equipment operators,2008,66,824,16.0
Occ,Electricians,2008,74,"1,763",8.4
Occ,"Painters, construction and maintenance",2008,50,"1,141",8.6
Occ,"Pipelayers, plumbers, pipefitters, and steamfitters",2008,39,"1,210",6.4
Occ,Roofers,2008,69,401,34.4
Occ,Structural iron and steel workers,2008,36,156,46.2
Occ,"Helpers, construction trades",2008,15,207,14.5
,"Installation, maintenance, and repair occupations",2008,354,"10,432",6.7
Occ,"First-line supervisors/managers of mechanics, installers, and repair",2008,26,648,7.7
Occ,Automotive service technicians and mechanics,2008,44,"1,705",5.0
Occ,"Heating, air conditioning, and refrigeration mechanics and installer",2008,19,795,4.8
Occ,Electrical power-line installers and repairers,2008,35,235,29.8
Ind,"Production, transportation, and material moving occupations",2008,"1,643","34,667",9.4
,Production occupations,2008,267,"17,656",3.0
