Label,Characteristic,Year,Characteristic_code,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
Occ,Automotive service technicians and mechanics,2018,49-3023,58,"1,835",6.1,0.4
Occ,Bus and truck mechanics and diesel engine specialists,2018,49-3031,39,819,9.5,1
Occ,"Heating, air conditioning, and refrigeration mechanics and installers",2018,49-9021,40,943,8.5,0.8
Occ,"Industrial machinery installation, repair, and maintenance workers",2018,49-9040,27,"1,090",5,0.5
Occ,Electrical power-line installers and repairers,2018,49-9051,29,301,19.3,3.5
Occ,Telecommunications line installers and repairers,2018,49-9052,10,431,4.6,0.6
Occ,"Maintenance and repair workers, general",2018,49-9071,64,"1,022",12.5,1
Ind,"Production, transportation, and material moving occupations",2018,"51, 53","1,668","36,448",9.1,0.2
,Production occupations,2018,51-0000,225,"17,350",2.6,0.1
Occ,First-line supervisors of production and operating workers,2018,51-1011,26,"1,809",2.9,0.2
Occ,"Welding, soldering, and brazing workers",2018,51-4120,42,"1,344",6.2,0.5
,Transportation and material moving occupations,2018,53-0000,"1,443","19,099",15,0.3
Occ,Aircraft pilots and flight engineers,2018,53-2010,70,221,58.9,12.4
Occ,Driver/sales workers and truck drivers,2018,53-3030,966,"7,404",26,0.9
Occ,Taxi drivers and chauffeurs,2018,53-3041,47,"1,348",6.7,0.5
Occ,Industrial truck and tractor operators,2018,53-7051,44,"1,289",6.8,0.6
Occ,"Laborers and freight, stock, and material movers, hand",2018,53-7062,113,"3,838",5.8,0.3
Occ,Refuse and recyclable material collectors,2018,53-7081,37,167,44.3,10.2
, no data,2018,no data,no data,no data,no data,no data
,Industry9,2018,Industry code9,no data,no data,no data,no data
,Private industry,2018,no data,"4,779","253,458",3.7,0
,Goods producing,2018,"11, 21, 23, 31, 32, 33","2,055","59,825",6.8,0.1
,Natural resources and mining10,2018,"11, 21",704,"6,645",20.9,1.4
Ind,"Agriculture, forestry, fishing and hunting",2018,11,574,"4,805",23.4,1.9
Occ,Crop production  ,2018,111000,250,"2,409",20.1,2.3
Occ,Animal production and aquaculture,2018,112000,161,"1,701",18.6,2.4
Occ,Logging ,2018,113300,75,234,64,14.1
Occ,"Fishing, hunting and trapping ",2018,114000,33,98,67.5,18.1
Occ,Support activities for agriculture and forestry ,2018,115000,41,343,23.9,4.6
Ind,"Mining, quarrying, and oil and gas extraction",2018,21,130,"1,840",14.1,2.2
Occ,Oil and gas extraction ,2018,211000,13,177,14.7,3.3
,Mining (except oil and gas),2018,212000,34,454,15,3.1
Occ,Coal mining ,2018,212100,11,147,15,6
Occ,Nonmetallic mineral mining and quarrying,2018,212300,17,224,15.2,3.1
Occ,Support activities for mining,2018,213000,83,"1,209",13.7,2.8
