Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate,,
,Total,2006,"5,840","271,815",4.2,,
,,2006,,,,,
,Employee Status,2006,,,,,
,Wage and salary workers4 ,2006,"4,808","252,193",3.7,,
,Self-employed5,2006,"1,032","19,265",10.6,,
,,2006,,,,,
,Gender,2006,,,,,
Dem,Men,2006,"5,396","156,888",6.7,,
Dem,Women,2006,444,"115,143",0.7,,
,,2006,,,,,
,Age,2006,,,,,
Dem,16 to 17 years,2006,21,"2,150",1.7,,
Dem,18 to 19 years,2006,106,"5,061",4.0,,
Dem,20 to 24 years,2006,390,"24,138",3.1,,
Dem,25 to 34 years,2006,"1,041","60,519",3.3,,
Dem,35 to 44 years,2006,"1,288","68,236",3.7,,
Dem,45 to 54 years,2006,"1,417","67,600",4.2,,
Dem,55 to 64 years,2006,963,"36,337",5.2,,
Dem,65 years and over,2006,599,"7,864",14.9,,
,,2006,,,,,
,Race or ethnic origin6,2006,,,,,
Dem,White (non-Hispanic),2006,"4,019","189,196",4.1,,
Dem,Black or African-American (non-Hispanic),2006,565,"28,529",3.9,,
Dem,Hispanic or Latino,2006,990,"37,056",5.3,,
,,2006,,,,,
,Occupation7,2006,,,,,
,Civilian Occupations,2006,,,,,
Ind,"Management, professional, and related occupations",2006,857,"98,469",1.7,,
,"Management, business, and financial operations occupations",2006,589,"44,563",2.6,,
,Management occupations,2006,550,"32,741",3.4,,
Occ,"Farm, ranch, and other agricultural managers",2006,13,569,4.6,,
Occ,Farmers and ranchers,2006,292,"1,647",35.5,,
Occ,Construction managers,2006,63,"2,180",5.8,,
Occ,Food service managers,2006,29,"2,037",2.7,,
Occ,Business and financial operations occupations,2006,39,"11,771",0.7,,
,Professional and related occupations,2006,268,"53,886",0.9,,
Occ,Architecture and engineering occupations,2006,55,"5,864",1.8,,
Occ,"Education, training, and library occupations",2006,23,"13,220",0.3,,
Occ,"Arts, design, entertainment, sports, and media occupations",2006,46,"4,822",1.6,,
Occ,Healthcare practitioner and technical occupations,2006,56,"13,209",0.8,,
Ind,Service occupations,2006,732,"40,557",3.5,,
,Protective service occupations,2006,284,"6,035",8.6,,
Occ,Fire fighters ,2006,42,690,6.7,,
Occ,Police and sheriff's patrol officers,2006,110,"1,394",15.6,,
Occ,Security guards and gaming surveillance officers,2006,73,"1,604",9.1,,
Occ,Food preparation and serving related occupations,2006,86,"11,977",1.4,,
,Building and grounds cleaning and maintenance occupations,2006,282,"9,167",6.1,,
Occ,Janitors and building cleaners,2006,59,"3,521",3.4,,
Occ,Grounds maintenance workers,2006,170,"2,219",15.1,,
Occ,Personal care and service occupations,2006,57,"7,958",1.4,,
Ind,Sales and office occupations,2006,404,"65,313",1.2,,
,Sales and related occupations,2006,316,"30,869",2.0,,
Occ,First-line supervisors/managers of retail sales workers,2006,112,"7,346",3.0,,
Occ,First-line supervisors/managers of non-retail sales workers,2006,23,"3,132",1.5,,
Occ,Cashiers,2006,57,"4,465",2.6,,
Occ,Retail salespersons,2006,38,"5,630",1.3,,
Occ,Office and administrative support occupations,2006,88,"34,549",0.5,,
Ind,"Natural resources, construction, and maintenance occupations",2006,"1,993","31,419",12.6,,
,"Farming, fishing, and forestry occupations",2006,297,"1,913",29.9,,
