Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate,,
Occ,Miscellaneous agricultural workers,2006,162,"1,370",22.0,,
Occ,Fishers and related fishing workers,2006,53,70,151.9,,
Occ,Logging workers,2006,66,155,85.0,,
,Construction and extraction occupations,2006,"1,273","18,522",13.7,,
Occ,Carpenters,2006,115,"3,486",6.6,,
Occ,Construction laborers,2006,365,"3,147",22.9,,
Occ,Operating engineers and other construction equipment operators,2006,82,939,17.2,,
Occ,Electricians,2006,118,"1,778",13.3,,
Occ,"Painters, construction and maintenance",2006,54,"1,296",8.2,,
Occ,"Pipelayers, plumbers, pipefitters, and steamfitters",2006,34,"1,350",5.0,,
Occ,Roofers,2006,81,435,37.2,,
Occ,Structural iron and steel workers,2006,36,119,60.4,,
Occ,"Helpers, construction trades",2006,10,236,8.5,,
,"Installation, maintenance, and repair occupations",2006,423,"10,955",7.7,,
Occ,"First-line supervisors/managers of mechanics, installers, and repair",2006,23,778,5.9,,
Occ,Automotive service technicians and mechanics,2006,46,"1,783",5.2,,
Occ,"Heating, air conditioning, and refrigeration mechanics and installer",2006,28,820,6.8,,
Occ,Electrical power-line installers and repairers,2006,38,238,31.9,,
Ind,"Production, transportation, and material moving occupations",2006,"1,786","36,144",9.8,,
,Production occupations,2006,285,"18,683",3.0,,
Occ,First-line supervisors/managers of production and operating workers,2006,25,"1,876",2.7,,
Occ,"Welding, soldering, and brazing workers",2006,55,"1,154",9.5,,
,Transportation and material moving occupations,2006,"1,501","17,424",17.1,,
Occ,Aircraft pilots and flight engineers,2006,104,221,90.6,,
Occ,Driver/sales workers and truck drivers,2006,957,"7,496",25.5,,
Occ,Taxi drivers and chauffeurs,2006,53,553,19.2,,
Occ,Industrial truck and tractor operators,2006,37,"1,172",6.3,,
Occ,"Laborers and freight, stock, and material movers, hand",2006,130,"3,378",7.6,,
Occ,Refuse and recyclable material collectors,2006,37,169,43.9,,
,,2006,,,,,
,Industry8,2006,,,,,
,Private industry,2006,"5,320","235,165",4.5,,
,Goods producing,2006,"2,542","61,709",8.2,,
,Natural resources and mining9,2006,847,"6,063",27.5,,
Ind,"Agriculture, Forestry, Fishing, and Hunting",2006,655,"4,439",29.0,,
Occ,Crop production  ,2006,308,"1,757",34.1,,
Occ,Animal production  ,2006,151,"2,016",14.8,,
Occ,Logging ,2006,97,217,89.3,,
Occ,"Fishing, hunting, and trapping ",2006,48,97,98.5,,
Occ,Support activities for agriculture and forestry ,2006,42,319,25.7,,
Ind,Mining,2006,192,"1,624",23.5,,
Occ,Oil and gas extraction ,2006,22,253,16.6,,
Occ,Coal mining ,2006,47,230,40.9,,
Occ,Support activities for mining,2006,103,826,24.9,,
Ind,Construction,2006,"1,239","22,093",11.2,,
Ind,Manufacturing,2006,456,"33,553",2.7,,
,Food manufacturing,2006,61,"3,101",3.9,,
Occ,"Animal food, grain and oilseed milling ",2006,15,291,10.3,,
Occ,Animal slaughtering and processing ,2006,16,961,3.3,,
Occ,Chemical manufacturing,2006,33,"2,574",2.6,,
Occ,Plastics and rubber products manufacturing,2006,13,"1,455",1.8,,
,Nonmetallic mineral product manufacturing,2006,59,"1,071",11.0,,
Occ,"Cement, concrete, lime, and gypsum product manufacturing ",2006,41,457,17.9,,
Occ,Primary metal manufacturing,2006,36,"1,099",6.6,,
Occ,Fabricated metal product manufacturing,2006,47,"2,893",3.2,,
Occ,Machinery manufacturing,2006,33,"2,619",2.4,,
Occ,Transportation equipment manufacturing,2006,50,"4,681",2.1,,
Occ,Wood product manufacturing,2006,36,"1,091",6.6,,
,Service providing,2006,"2,778","173,165",3.2,,
,"Trade, transportation, and utilities",2006,"1,494","51,632",5.8,,
Ind,Wholesale Trade,2006,222,"9,423",4.7,,
,"Merchant wholesalers, durable goods",2006,111,"5,041",4.4,,
Occ,"Machinery, equipment, and supplies, merchant wholesalers     ",2006,32,"1,194",5.4,,
,"Merchant wholesalers, nondurable goods",2006,103,"4,099",5.0,,
Occ,"Groceries and related products, merchant wholesalers ",2006,39,"1,812",4.3,,
Ind,Retail Trade,2006,359,"29,923",2.4,,
,Motor vehicle and parts dealers,2006,71,"4,415",3.2,,
Occ,Automobile dealers ,2006,42,"3,018",2.8,,
Occ,"Automotive parts, accessories, and tire stores  ",2006,19,"1,021",3.7,,
Occ,Building material and garden equipment and supplies dealers,2006,41,"2,993",2.7,,
,Food and beverage stores,2006,82,"5,101",3.2,,
Occ,Grocery stores ,2006,57,"4,458",2.6,,
Occ,Gasoline stations ,2006,52,997,10.4,,
Occ,Miscellaneous store retailers,2006,21,"2,035",2.1,,
Occ,Nonstore retailers,2006,19,"1,116",3.2,,
Ind,Transportation and Warehousing     ,2006,860,"10,525",16.3,,
Occ,Air transportation ,2006,51,954,10.5,,
Occ,Rail transportation ,2006,19,509,7.5,,
Occ,Water transportation ,2006,21,138,30.4,,
Occ,Truck transportation ,2006,553,"4,502",24.6,,
,Transit and ground passenger transportation,2006,63,"1,131",11.1,,
Occ,Bus service and urban transit ,2006,14,666,4.2,,
Occ,Taxi and limousine service ,2006,49,464,21.1,,
Occ,Services incidental to transportation ,2006,80,"1,176",13.6,,
Occ,Warehousing and storage ,2006,17,697,4.9,,
Ind,Utilities,2006,53,"1,761",6.0,,
Ind,Information ,2006,66,"6,585",1.9,,
,"Publishing industries, except Internet",2006,27,"1,722",3.1,,
Occ,Newspaper publishers,2006,22,821,5.4,,
Ind,Financial activities,2006,126,"19,895",1.3,,
Occ,Finance and Insurance,2006,44,"13,999",0.6,,
,Real Estate and Rental and Leasing,2006,82,"5,902",2.8,,
Occ,Real estate ,2006,58,"4,892",2.4,,
Ind,Professional and business services,2006,459,"27,684",3.3,,
Occ,"Professional, Scientific, and Technical Services",2006,78,"16,799",0.9,,
,"Management, administrative, and waste services",2006,381,"10,910",7.0,,
Occ,Employment services ,2006,31,"1,887",3.3,,
Occ,Investigation and security services ,2006,40,"1,424",5.6,,
Occ,Services to buildings and dwellings (except landscaping services) ,2006,46,"2,093",4.4,,
Occ,Landscaping services,2006,173,"2,219",15.6,,
Occ,Waste management and remediation services ,2006,78,709,22.0,,
Ind,Educational and health services,2006,178,"34,988",1.0,,
Occ,Educational services,2006,49,"6,351",1.5,,
,Health care and social assistance,2006,129,"28,637",0.9,,
Occ,Ambulatory health care services,2006,56,"10,727",1.0,,
Occ,Hospitals ,2006,23,"9,170",0.5,,
Occ,Nursing and residential care facilities,2006,22,"4,235",1.0,,
Occ,Social assistance,2006,25,"4,497",1.0,,
Ind,Leisure and hospitality,2006,265,"19,783",2.6,,
,"Arts, entertainment, and recreation",2006,80,"3,895",3.6,,
Occ,"Independent artists, performing arts, spectator sports, and related industries",2006,45,"1,229",5.9,,
Occ,"Amusement, gambling, and recreation industries (except bowling centers)  ",2006,30,"2,396",2.5,,
,Accommodation and food services,2006,185,"15,878",2.3,,
,Accommodation ,2006,39,"2,794",2.7,,
Occ,Traveler accommodation ,2006,36,"2,624",2.7,,
,Food services and drinking places,2006,146,"13,096",2.2,,
Occ,Restaurants and other food services ,2006,115,"12,661",1.8,,
Occ,Drinking places (alcoholic beverages),2006,31,450,13.8,,
Ind,Other services (except public administration),2006,183,"12,599",2.8,,
Occ,Automotive repair and maintenance (except car washes),2006,71,"2,511",5.7,,
Occ,Personal and laundry services,2006,29,"3,741",1.6,,
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2006,35,"3,392",1.7,,
Ind,Government,2006,520,"37,058",2.4,,
Occ,Federal government,2006,122,"6,545",2.1,,
Occ,State government,2006,112,"11,107",2.0,,
Occ,Local government,2006,277,"19,335",2.6,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
