Label,Characteristic,Year,total_fatal_injuries,total_hours_worked,fatal_injury_rate
Occ,"Machinery, equipment, and supplies, merchant wholesalers     ",2013,18,814,4.2
Occ,Recyclable material merchant wholesalers,2013,20,223,17.9
,"Merchant wholesalers, nondurable goods",2013,87,"3,624",4.8
Occ,"Groceries and related products, merchant wholesalers ",2013,23,"1,746",2.6
Ind,Retail trade,2013,263,"27,936",1.9
,Motor vehicle and parts dealers,2013,44,"3,961",2.2
Occ,Automobile dealers ,2013,26,"2,699",1.9
Occ,"Automotive parts, accessories, and tire stores  ",2013,15,"1,029",2.9
Occ,Building material and garden equipment and supplies dealers,2013,24,"2,641",1.8
,Food and beverage stores,2013,45,"5,326",1.7
Occ,Grocery stores ,2013,41,"4,649",1.8
Occ,Gasoline stations ,2013,34,913,7.4
Occ,Miscellaneous store retailers,2013,29,"1,829",3.1
Occ,Nonstore retailers,2013,24,999,4.8
Ind,Transportation and warehousing     ,2013,733,"10,477",14
Occ,Air transportation ,2013,24,"1,013",4.7
Occ,Truck transportation ,2013,493,"3,827",25.7
,Transit and ground passenger transportation,2013,66,"1,120",11.8
Occ,Bus service and urban transit ,2013,15,587,5.1
Occ,Taxi and limousine service ,2013,51,533,19.1
Occ,Support activities for transportation ,2013,69,"1,523",9.1
Occ,Couriers and messengers,2013,29,"1,325",4.4
Occ,Warehousing and storage ,2013,17,852,4
Ind,Utilities,2013,24,"1,802",2.6
Ind,Information ,2013,40,"5,489",1.5
Ind,Financial activities,2013,87,"18,889",0.9
Occ,Finance and insurance,2013,21,"13,707",0.3
,Real estate and rental and leasing,2013,66,"5,188",2.5
Occ,Real estate ,2013,48,"4,462",2.2
Occ,Rental and leasing services,2013,18,728,4.9
Ind,Professional and business services,2013,430,"31,046",2.8
,"Professional, scientific, and technical services",2013,87,"19,358",0.9
Occ,"Architectural, engineering, and related services ",2013,33,"2,913",2.3
,"Management, administrative, and waste services",2013,343,"11,694",5.8
Occ,Employment services ,2013,44,"1,779",4.9
Occ,Investigation and security services ,2013,36,"1,427",5
Occ,Services to buildings and dwellings (except landscaping services) ,2013,34,"2,418",2.8
Occ,Landscaping services,2013,158,"2,370",13.2
Occ,Waste management and remediation services ,2013,51,913,11.2
Ind,Educational and health services,2013,135,"39,936",0.7
Occ,Educational services,2013,32,"7,551",0.8
,Health care and social assistance,2013,103,"32,413",0.6
Occ,Ambulatory health care services,2013,42,"13,221",0.6
Occ,Hospitals ,2013,26,"10,301",0.5
Occ,Social assistance,2013,21,"4,448",0.9
Ind,Leisure and hospitality,2013,207,"21,514",1.9
,"Arts, entertainment, and recreation",2013,69,"4,592",2.8
Occ,"Performing arts, spectator sports, and related industries",2013,35,"1,380",4.9
Occ,"Amusement, gambling, and recreation industries (except bowling centers)  ",2013,28,"2,925",1.8
,Accommodation and food services,2013,138,"16,924",1.6
,Accommodation ,2013,24,"2,669",1.8
Occ,Traveler accommodation ,2013,16,"2,502",1.3
,Food services and drinking places,2013,114,"14,278",1.6
Occ,Restaurants and other food services ,2013,82,"13,893",1.2
Occ,Drinking places (alcoholic beverages),2013,32,378,16.4
Ind,Other services (except public administration),2013,186,"12,429",2.7
,Repair and maintenance,2013,111,"4,094",5.3
Occ,Automotive repair and maintenance (except car washes),2013,62,"2,495",4.9
Occ,Personal and laundry services,2013,33,"4,056",1.6
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2013,40,"3,258",1.4
Ind,Government,2013,484,"37,194",2
Occ,Federal government,2013,129,"6,781",1.7
Occ,State government,2013,72,"11,510",1.3
Occ,Local government,2013,282,"18,940",2.6
